filiere,type_ecole,ville,moyenne,stages,niveau_francais,niveau_anglais,niveau_programmation,niveau_algorithme,projets,certifications,participation_hackathon,open_source_contributions,soft_skills,linkedin_profile,recrute,salaire_estime_dh
GINF,Faculté (FS),Marrakech,11.16,1,7,4,4,4,1,2,1,0,10,1,0,0
Réseaux & Télécoms,OFPPT,Tanger,11.42,4,10,4,8,10,0,0,1,0,4,1,1,7800
GI,ENSA,Casablanca,16.9,0,8,7,8,8,0,3,0,0,9,1,0,0
Cybersécurité,ENSA,Tanger,13.14,3,6,8,6,8,1,1,0,0,4,1,0,0
GI,OFPPT,Marrakech,10.03,2,6,3,4,4,3,1,0,0,10,1,0,0
GI,Faculté (FS),Fès,12.19,0,8,4,7,7,0,1,0,0,8,1,0,0
GI,Faculté (FS),Tanger,14.78,4,6,9,10,3,0,1,1,0,8,1,1,10200
Data Science,OFPPT,Agadir,16.39,4,10,10,7,10,3,1,0,0,10,1,1,9400
Cybersécurité,OFPPT,Kenitra,11.07,1,9,10,6,8,2,3,0,0,10,0,1,8700
GI,Privée (EMSI/IGA),Agadir,10.88,2,8,5,10,10,0,3,1,0,5,0,1,11700
Réseaux & Télécoms,FST,Agadir,17.38,0,8,10,9,8,5,0,0,0,4,0,0,0
Développement Web,FST,Fès,16.01,1,5,6,10,9,1,0,0,0,4,0,0,0
GI,FST,Rabat,14.72,2,4,6,10,10,1,2,0,0,8,0,1,11000
Data Science,ENSA,Kenitra,16.15,3,5,6,3,7,3,2,0,0,9,1,0,0
Cybersécurité,Faculté (FS),Agadir,13.43,3,6,9,3,5,1,2,1,0,9,1,0,0
Data Science,EST,Agadir,16.07,1,4,7,8,7,6,3,0,0,4,1,0,0
GI,Privée (EMSI/IGA),Rabat,12.97,0,8,6,5,9,7,0,0,0,6,1,1,10700
Cybersécurité,Faculté (FS),Fès,11.95,2,6,9,6,5,4,0,0,0,7,0,0,0
Développement Web,Faculté (FS),Kenitra,15.83,3,7,6,5,5,7,3,0,1,8,0,0,0
GI,EST,Agadir,13.36,3,6,5,8,10,1,0,0,0,8,1,0,0
Data Science,ENSA,Marrakech,17.85,0,4,9,9,10,3,1,1,0,4,0,0,0
GINF,ENSA,Fès,12.8,1,4,3,6,7,7,0,0,0,10,1,0,0
Réseaux & Télécoms,FST,Kenitra,17.37,4,8,8,7,6,3,0,1,1,9,0,1,11100
Data Science,ENSA,Agadir,17.46,2,9,7,9,7,3,1,0,0,7,0,1,10800
Cybersécurité,Faculté (FS),Agadir,11.93,3,7,7,6,8,6,2,0,0,7,0,1,9700
GI,OFPPT,Rabat,16.39,4,8,6,4,3,7,2,1,0,9,1,1,10000
Réseaux & Télécoms,OFPPT,Kenitra,13.46,0,7,5,10,7,5,2,0,0,8,1,0,0
GI,Faculté (FS),Marrakech,17.34,1,7,4,5,6,4,3,0,1,8,1,0,0
Cybersécurité,ENSA,Fès,13.6,2,8,9,6,7,6,1,0,0,8,1,1,11200
GI,OFPPT,Tanger,15.95,0,10,6,10,6,7,1,0,0,6,0,1,6600
GINF,OFPPT,Casablanca,13.74,1,6,9,5,3,0,3,0,0,4,0,0,0
Réseaux & Télécoms,ENSA,Marrakech,11.82,0,5,6,9,4,2,1,0,0,6,1,0,0
Réseaux & Télécoms,OFPPT,Tanger,11.59,3,7,7,8,6,1,0,0,0,8,0,0,0
Cybersécurité,EST,Marrakech,13.4,3,10,7,6,6,5,2,0,1,7,0,1,9700
GINF,OFPPT,Kenitra,16.04,4,4,6,3,8,0,1,0,0,4,1,0,0
Data Science,Privée (EMSI/IGA),Tanger,14.84,0,8,7,5,6,3,1,1,0,4,1,0,0
GI,ENSA,Kenitra,15.51,3,9,5,10,3,0,2,1,0,9,0,1,11300
Développement Web,OFPPT,Tanger,12.26,1,10,4,7,5,6,3,0,0,8,1,0,0
GI,Faculté (FS),Marrakech,13.85,4,6,4,7,6,0,2,0,0,8,1,0,0
GI,Privée (EMSI/IGA),Rabat,10.36,2,10,9,10,9,4,3,0,0,8,1,1,13500
Data Science,FST,Marrakech,16.54,0,7,4,10,3,3,3,0,0,8,1,0,0
GI,OFPPT,Kenitra,17.92,3,9,9,6,8,5,0,1,0,10,0,1,8300
GINF,ENSA,Marrakech,13.26,1,10,6,7,10,7,2,0,0,10,0,1,10500
GINF,EST,Tanger,10.09,0,6,8,10,9,5,1,0,0,8,1,0,0
Réseaux & Télécoms,ENSA,Casablanca,11.36,1,10,6,9,8,3,3,0,0,10,0,1,11900
Cybersécurité,Privée (EMSI/IGA),Tanger,15.22,4,8,6,7,4,1,0,0,1,8,0,1,12200
Développement Web,OFPPT,Agadir,14.9,3,9,5,5,6,7,2,0,0,4,1,0,0
GI,OFPPT,Marrakech,16.3,3,4,4,9,5,5,3,0,0,6,1,0,0
GI,Privée (EMSI/IGA),Fès,12.03,4,7,7,6,10,5,0,0,0,7,1,1,11900
Data Science,ENSA,Marrakech,16.11,1,7,7,5,3,1,1,0,0,10,1,0,0
Cybersécurité,EST,Rabat,15.5,0,9,3,6,4,1,3,0,0,8,1,0,0
GINF,ENSA,Kenitra,12.58,1,6,3,7,5,7,3,1,0,7,1,0,0
Développement Web,ENSA,Fès,14.36,0,8,9,9,10,6,1,0,0,9,1,1,10200
Réseaux & Télécoms,ENSA,Tanger,11.18,4,10,10,6,4,5,1,0,0,4,1,1,12400
GINF,FST,Rabat,13.62,2,10,8,8,10,5,1,0,0,7,1,1,11000
Cybersécurité,EST,Marrakech,17.05,0,5,9,6,5,5,3,0,0,4,1,0,0
Réseaux & Télécoms,ENSA,Tanger,13.37,3,7,7,4,7,1,0,0,1,5,0,0,0
Data Science,ENSA,Tanger,16.72,3,10,4,6,7,5,0,0,0,6,1,0,0
Data Science,ENSA,Agadir,14.72,3,4,9,4,7,0,1,0,0,5,1,0,0
GI,Privée (EMSI/IGA),Agadir,11.54,1,7,6,5,10,0,0,0,0,4,1,0,0
Cybersécurité,OFPPT,Casablanca,14.65,1,7,7,4,4,1,1,0,0,10,1,0,0
Développement Web,Privée (EMSI/IGA),Agadir,14.05,1,5,8,9,7,1,1,1,0,9,0,0,0
Réseaux & Télécoms,FST,Kenitra,13.19,3,5,8,5,3,1,2,0,0,5,1,0,0
GINF,EST,Fès,10.96,0,8,7,6,3,2,0,0,0,4,1,0,0
Cybersécurité,OFPPT,Tanger,13.33,3,10,10,5,7,7,3,0,0,5,1,1,9700
Cybersécurité,EST,Agadir,10.58,0,10,3,7,5,1,2,0,0,4,1,0,0
Data Science,EST,Casablanca,10.79,1,7,10,8,5,6,1,1,0,6,1,0,0
GI,ENSA,Marrakech,13.33,2,7,4,6,4,2,2,1,0,9,1,0,0
GI,ENSA,Fès,12.44,1,6,7,9,5,1,1,0,0,6,0,0,0
Réseaux & Télécoms,EST,Agadir,17.4,4,6,6,4,9,3,1,1,0,6,1,0,0
Data Science,EST,Tanger,13.01,0,10,6,8,9,4,1,0,1,4,1,1,7600
Cybersécurité,Faculté (FS),Marrakech,16.06,2,9,5,3,10,5,0,0,0,7,1,0,0
Développement Web,ENSA,Kenitra,14.24,1,9,6,8,9,5,1,0,0,5,1,1,10100
Data Science,ENSA,Tanger,15.63,2,4,7,10,6,0,1,0,0,10,1,1,10800
Réseaux & Télécoms,OFPPT,Marrakech,12.08,3,10,7,6,10,3,0,0,0,5,1,0,0
Réseaux & Télécoms,ENSA,Kenitra,17.54,0,10,6,9,5,4,0,0,0,5,1,1,9200
Data Science,EST,Kenitra,14.24,4,10,3,9,10,5,1,0,0,9,1,1,8500
Réseaux & Télécoms,OFPPT,Fès,16.65,3,4,4,10,3,5,0,1,0,5,1,0,0
Data Science,ENSA,Tanger,12.92,2,6,8,8,8,2,3,0,0,6,0,0,0
GINF,ENSA,Agadir,10.8,1,9,7,8,5,0,3,0,1,7,0,0,0
Data Science,FST,Agadir,15.39,0,10,6,7,9,2,1,1,1,5,1,1,9100
Data Science,EST,Casablanca,10.06,4,4,8,5,4,6,2,0,0,7,1,0,0
Réseaux & Télécoms,Faculté (FS),Marrakech,13.8,1,7,6,8,5,6,0,0,0,4,0,0,0
Réseaux & Télécoms,OFPPT,Casablanca,11.54,4,9,7,4,9,2,2,1,0,4,1,1,10200
GI,ENSA,Rabat,15.02,0,5,5,9,4,0,3,0,0,9,1,0,0
GI,Faculté (FS),Agadir,17.84,2,9,4,10,6,4,1,0,1,5,1,1,8700
GINF,FST,Marrakech,13.72,4,7,7,4,7,0,3,1,0,8,0,0,0
GI,ENSA,Fès,16.54,0,6,8,7,6,1,0,0,1,9,1,0,0
Data Science,Faculté (FS),Casablanca,14.06,4,8,6,8,3,7,0,1,1,6,1,0,0
Réseaux & Télécoms,EST,Fès,13.97,1,8,5,8,8,2,1,0,1,9,1,1,7900
GI,FST,Fès,17.44,4,6,9,7,6,1,0,0,0,5,1,0,0
GI,ENSA,Fès,17.12,1,7,7,6,6,0,0,0,0,6,0,0,0
GINF,FST,Casablanca,16.29,1,4,4,3,3,0,0,1,0,5,1,0,0
Cybersécurité,EST,Rabat,12.37,0,9,5,3,3,5,2,0,0,6,1,0,0
GINF,OFPPT,Kenitra,14.36,3,9,8,5,7,6,1,1,0,10,0,1,8500
Data Science,ENSA,Kenitra,11.79,4,4,10,4,7,4,1,0,1,8,1,1,12900
Réseaux & Télécoms,FST,Casablanca,13.55,2,8,6,6,5,2,1,0,0,8,1,0,0
GINF,FST,Kenitra,13.87,1,10,3,4,4,6,0,0,0,9,1,0,0
GI,OFPPT,Tanger,16.65,3,10,9,6,3,3,0,0,0,4,1,1,8300
Réseaux & Télécoms,Faculté (FS),Kenitra,17.17,1,6,9,7,10,0,0,1,0,9,1,1,8300
Réseaux & Télécoms,Faculté (FS),Agadir,13.32,3,10,4,5,6,5,1,0,0,5,1,1,8700
GI,OFPPT,Casablanca,10.14,3,6,10,7,6,3,2,0,1,8,1,1,10800
GINF,OFPPT,Kenitra,16.89,2,10,5,4,7,2,3,1,0,8,1,0,0
GI,EST,Casablanca,11.39,3,5,7,9,4,1,1,1,0,9,1,1,9800
Cybersécurité,FST,Rabat,14.98,2,8,7,5,9,7,1,0,0,5,1,1,10800
Réseaux & Télécoms,OFPPT,Tanger,10.2,0,6,5,8,3,7,2,0,0,9,1,0,0
Développement Web,Privée (EMSI/IGA),Casablanca,13.2,1,5,7,10,7,7,3,0,0,10,1,1,12600
Développement Web,OFPPT,Agadir,17.89,2,4,9,9,9,2,3,1,0,9,1,0,0
Data Science,EST,Kenitra,10.81,1,8,9,10,4,6,0,1,0,9,1,1,7800
GI,ENSA,Agadir,13.39,4,8,9,6,3,4,3,0,0,5,0,0,0
GI,FST,Kenitra,12.46,0,6,5,6,6,3,0,0,0,4,1,0,0
